Player,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,logSalary
Player61,424,110,15,70,47,36,7,2130,544,38,335,174,258,292,6,3,2.69019608
Player62,495,151,17,61,84,78,10,5624,1679,275,884,1015,709,1045,88,13,3.390935107
Player63,233,49,2,41,23,18,8,1350,336,7,166,122,106,102,132,10,2.574031268
Player64,641,198,31,101,108,41,5,2129,610,92,297,319,117,269,17,10,3.070037867
Player65,215,51,4,19,18,11,1,215,51,4,19,18,11,116,5,12,1.84509804
Player66,441,128,16,70,73,80,14,6675,2095,209,1072,1050,695,97,218,16,3.176091259
Player67,283,77,14,45,47,26,16,6840,1910,259,915,1067,546,144,6,5,2.84509804
Player68,408,94,4,42,36,66,9,3573,866,59,429,365,410,282,487,19,2.728353782
Player69,370,96,21,49,46,60,15,6986,1972,231,1070,955,921,137,5,9,2.865301229
Player70,354,77,16,36,55,41,20,8716,2172,384,1172,1267,1057,83,174,16,2.301029996
Player71,539,139,5,93,58,69,5,1469,369,12,247,126,198,462,9,7,2.602059991
Player72,340,84,11,62,33,47,5,1516,376,42,284,141,219,185,8,4,2.602059991
Player73,380,120,5,54,51,31,8,3118,900,92,444,419,240,237,8,1,2.77815125
Player74,584,158,15,70,84,42,5,2358,636,58,265,316,134,331,20,4,2.821185883
Player75,306,104,14,50,58,25,7,2954,822,55,313,377,187,116,222,15,2.875061263
Player76,278,70,7,22,37,18,18,7186,2081,190,935,1088,643,0,0,0,2.511883361
Player77,445,99,1,46,24,29,4,618,129,1,72,31,48,278,415,16,1.942008053
Player78,143,39,5,18,30,15,9,639,151,16,80,97,61,138,15,1,2.243038049
Player79,185,40,4,23,11,18,3,524,125,7,58,37,47,97,2,2,1.954242509
Player80,589,170,40,107,108,69,6,2325,634,128,371,376,238,368,20,3,3.092545208
Player81,343,103,6,48,36,40,15,4338,1193,70,581,421,325,211,56,13,2.633468456
Player82,438,103,2,65,32,71,2,440,103,2,67,32,71,276,7,9,2
Player83,600,144,33,85,117,65,2,696,173,38,101,130,69,319,4,14,2.217483944
Player84,663,200,29,108,121,32,4,1447,404,57,210,222,68,241,8,6,2.397940009
Player85,479,133,10,48,72,55,17,7472,2147,153,980,1032,854,237,5,4,2.888366543
Player86,528,132,21,61,74,41,6,2641,671,97,273,383,226,885,105,8,3.003603981
Player87,160,39,8,18,31,22,14,2128,543,56,304,268,298,33,3,0,2.439332694
Player88,497,136,7,58,38,26,11,3871,1066,40,450,367,241,304,347,10,2.929418926
Player89,210,70,13,32,51,28,15,4040,1130,97,544,462,551,0,0,0,2.562292864
Player90,341,95,6,48,42,20,10,2964,808,81,379,428,221,158,4,5,2
Player91,399,102,3,56,34,34,5,670,167,4,89,48,54,211,9,3,1.903089987
Player92,309,94,5,37,32,26,13,4618,1330,57,616,522,436,161,3,3,2.77815125
Player93,616,163,27,83,107,32,3,1437,377,65,181,227,82,110,308,15,2.301029996
Player94,579,174,7,67,78,58,6,3053,880,32,366,337,218,280,479,5,2.81756537
Player95,257,66,5,31,26,32,14,3910,979,33,518,324,382,87,166,14,2.397940009
Player96,315,76,13,35,60,25,3,630,151,24,68,94,55,498,39,13,2.190331698
Player97,591,157,16,90,78,26,4,2020,541,52,310,226,91,290,440,25,2.806179974
Player98,429,91,12,41,42,57,13,5590,1397,83,578,579,644,686,46,4,2.916453949
Player99,453,101,3,46,43,61,3,948,218,6,96,72,91,249,444,16,2.290034611
Player100,184,47,5,20,28,18,11,3327,890,74,419,382,304,49,2,0,2.653212514
Player101,591,184,20,83,79,38,5,1689,462,40,219,195,82,303,12,5,2.799340549
Player102,181,58,6,34,23,22,1,181,58,6,34,23,22,88,0,3,1.937016107
Player103,441,118,28,84,86,68,8,2723,750,126,433,420,309,190,2,2,3.113943352
Player104,490,150,21,69,58,35,14,6126,1839,121,983,707,600,96,5,3,3
Player105,551,171,13,94,83,94,13,6090,1840,128,969,900,917,1199,149,5,3.255272505
Player106,550,147,29,85,91,71,6,2816,815,117,405,474,319,1218,104,10,3.117271296
Player107,503,136,5,62,48,83,10,3423,970,20,408,303,414,65,258,8,2.860338007
Player108,344,85,24,69,64,88,7,911,214,64,150,156,187,0,0,0,2.477121255
Player109,279,64,0,31,26,30,1,279,64,0,31,26,30,107,205,16,1.875061263
Player110,484,127,20,66,65,67,7,3006,844,116,436,458,377,1231,80,7,3.073106976
Player111,431,127,8,77,45,58,2,667,187,9,117,64,88,283,8,3,2.306425028
Player112,283,70,8,33,37,27,12,4479,1222,94,557,483,307,156,2,2,2.352182518
Player113,491,141,11,77,47,37,15,4291,1240,84,615,430,340,239,8,2,2.720159303
Player114,589,149,21,89,86,64,7,3558,928,102,513,471,351,371,6,6,2.896250562
Player115,327,84,22,53,62,38,10,4273,1123,212,577,700,334,483,48,6,2.903089987
Player116,584,157,20,95,73,63,10,4704,1320,93,724,522,576,276,421,11,2.62324929
Player117,216,54,2,27,25,33,1,216,54,2,27,25,33,317,36,1,1.875061263
Player118,625,179,4,94,60,65,5,1696,476,12,216,163,166,303,450,14,2.759667845
Player119,489,131,19,77,55,34,7,2051,549,62,300,263,153,310,9,9,2.892094603
Player120,209,56,12,22,36,19,2,216,58,12,24,37,19,201,6,3,1.954242509
Player121,407,93,8,47,30,30,2,969,230,14,121,69,68,172,317,25,2.176091259
Player122,442,131,18,68,77,33,6,1416,398,47,210,203,136,233,7,7,2.740362689
Player123,504,120,28,71,71,54,3,1085,259,54,150,167,114,103,283,19,2.243038049
Player124,258,60,8,28,33,18,3,638,170,17,80,75,36,358,32,8,2.136720567
Player125,211,43,10,26,35,39,3,498,116,14,59,55,78,463,32,8,2.079181246
Player126,288,76,7,34,37,15,4,1644,408,16,198,120,113,203,3,3,2.380211242
Player127,369,93,9,43,42,49,5,1258,323,54,181,177,157,149,1,6,2.544068044
Player128,572,152,18,105,49,65,2,978,249,36,168,91,101,325,13,3,2.301029996
Player129,514,144,0,67,54,79,9,4739,1169,13,583,374,528,229,453,15,3.28780173
Player130,359,80,15,45,48,63,7,1493,359,61,176,202,175,682,93,13,2.84509804
Player131,437,123,9,62,55,40,9,4139,1203,79,676,390,364,82,170,15,3.100370545
Player132,309,72,0,33,31,26,5,354,82,0,41,32,26,117,269,12,2.113943352
Player133,271,77,5,35,29,33,12,4933,1358,48,630,435,403,62,90,3,2.653212514
Player134,357,96,7,50,45,39,5,1394,344,43,178,192,136,167,2,4,2.477121255
Player135,216,56,4,22,18,15,12,2796,665,43,266,304,198,391,44,4,2.397940009
Player136,256,70,13,42,36,44,16,7058,1845,312,965,1128,990,41,118,8,3.021189299
Player137,466,108,33,75,86,72,3,652,142,44,102,109,102,286,8,8,2.33243846
Player138,327,68,13,42,29,45,18,3949,939,78,438,380,466,659,53,7,2.602059991
Player139,341,110,9,45,49,46,9,2331,658,50,249,322,274,251,9,4,2.748188027
Player140,608,160,28,130,74,89,8,4071,1182,103,862,417,708,426,4,6,3.222716471
Player141,419,101,18,65,58,92,20,9528,2510,548,1509,1659,1342,0,0,0,2.68797462
Player142,376,82,21,42,60,35,5,1770,408,115,238,299,157,0,0,0,2.62838893
Player143,486,145,11,51,76,40,11,3967,1102,67,410,497,284,88,204,16,2.698970004
Player144,246,76,5,35,39,13,6,912,234,12,102,96,80,44,0,1,2.397940009
Player145,205,52,8,31,27,17,12,5134,1323,56,643,445,459,155,3,2,2.602059991
Player146,348,90,11,50,45,43,10,2288,614,43,295,273,269,60,176,6,2.653212514
Player147,523,135,8,52,44,52,9,3368,895,39,377,284,296,367,475,19,2.875061263
Player148,312,68,2,32,22,24,1,312,68,2,32,22,24,86,150,15,1.84509804
Player149,126,27,3,8,10,5,4,239,49,3,16,13,14,190,2,9,2.278753601
Player150,275,68,5,42,42,61,6,961,238,16,128,104,172,181,3,2,2.281033367
Player151,382,101,16,50,55,22,1,382,101,16,50,55,22,200,7,6,1.989004616
Player152,459,113,20,59,57,68,12,5348,1369,155,713,660,735,0,0,0,2.86923172
Player153,549,149,7,73,47,42,1,549,149,7,73,47,42,255,450,17,2.146128036
Player154,522,163,9,82,46,62,13,7037,2019,153,1043,827,535,352,9,1,3
Player155,512,117,29,54,88,43,6,1750,412,100,204,276,155,1236,98,18,2
Player156,220,66,5,20,28,13,3,290,80,5,27,31,15,281,21,3,1.954242509
Player157,522,140,16,73,77,60,4,730,185,22,93,106,86,1320,166,17,2.301029996
Player158,461,112,18,54,54,35,2,680,160,24,76,75,49,111,226,11,2.130333768
Player159,530,159,3,82,50,47,6,1619,426,11,218,149,163,196,354,15,2.67669361
Player160,557,142,21,58,81,23,18,8759,2583,271,1138,1299,478,1160,53,7,3.161368002
Player161,453,103,8,53,33,52,2,507,123,8,63,39,58,289,407,6,2.021189299
Player162,528,122,1,67,45,51,4,1716,403,12,211,146,155,209,372,17,2.544068044
Player163,633,210,6,91,56,59,6,3070,872,19,420,230,274,367,432,16,1.954242509
Player164,281,76,3,42,25,20,8,2658,657,48,324,300,179,106,144,7,2.533603034
Player165,593,152,23,69,75,53,6,2765,686,133,369,384,321,315,10,6,2.973127854
Player166,687,213,10,91,65,27,4,1518,448,15,196,137,89,294,445,13,2.544068044
Player167,368,103,3,48,28,54,8,1897,493,9,207,162,198,209,246,3,2.514105264
Player168,263,70,1,26,23,30,4,888,220,9,83,82,86,81,147,4,2.397940009
Player169,642,211,14,107,59,52,5,2364,770,27,352,230,193,337,19,4,2.86923172
Player170,193,47,10,21,29,24,6,1136,256,42,129,139,106,299,13,5,2.389166084
Player171,213,61,4,17,22,3,17,4061,1145,83,488,491,244,178,45,4,2.371067862
Player172,510,147,10,56,52,53,7,2872,821,63,307,340,174,810,99,18,3.06069784
Player173,172,42,3,17,14,15,10,4086,1150,57,579,363,406,65,0,0,2.954242509
Player174,127,32,4,14,25,12,19,8396,2402,242,1048,1348,819,167,18,6,2.698970004
Player175,279,69,4,35,31,32,4,1359,355,31,180,148,158,133,173,9,2.443262987
Player176,480,112,18,50,71,44,7,3031,771,110,338,406,239,94,270,16,2.875061263
Player177,600,139,0,94,29,60,2,1236,309,1,201,69,110,300,12,9,2.204119983
Player178,610,186,19,107,98,74,6,2728,753,69,399,366,286,1182,96,13,3.113943352
Player179,408,117,11,66,41,34,1,408,117,11,66,41,34,942,72,11,2.079181246
Player180,593,172,22,82,100,57,1,593,172,22,82,100,57,1222,139,15,2.217483944
Player181,497,127,7,65,48,37,5,2703,806,32,379,311,138,325,9,3,2.84509804
Player182,492,136,5,76,50,94,12,5511,1511,39,897,451,875,313,381,20,2.942008053
Player183,475,126,3,61,43,52,6,1700,433,7,217,93,146,37,113,7,2.58546073
Player184,573,144,9,85,60,78,8,3198,857,97,470,420,332,1314,131,12,2.982271233
Player185,631,170,9,77,44,31,11,4908,1457,30,775,357,249,408,4,3,3
